#,content_rating,content_score,recommendation,needs_image,dup_group,title,section,date,words,h2,q_headings,tldr,faq,sources,image_status,image_reuse,post_url,image_url,slug
1,A,100,RE-IMAGE-shared,,,Can Australian small businesses claim AI and automation as a tax deduction in FY26?,Business & Money,"June 20, 2026",2489,16,10,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/ai-automation-tax-deduction-australian-small-business-fy26,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-systems-integration-small-business-australia-linkai-digital/public,ai-automation-tax-deduction-australian-small-business-fy26
2,A,100,RE-IMAGE-shared,,,AI hype vs practical AI: what actually works for Australian businesses right now,Get Your Time Back,"May 9, 2026",2599,10,12,1,1,1,cdn,3,https://www.linkaidigital.com.au/blog/ai-hype-vs-practical-ai-australia,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-practical-ai-small-business-australia-linkai-digital/public,ai-hype-vs-practical-ai-australia
3,A,100,RE-IMAGE-shared; REVIEW-DUP(NO-SHOWS),,NO-SHOWS,Allied health no-shows: how missed appointments cost Australian practices thousands each year,Get Your Time Back,"June 22, 2026",1752,13,12,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/allied-health-no-shows-cost-australian-clinics,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-reduce-no-shows-automated-reminders-australia-linkai-digital/public,allied-health-no-shows-cost-australian-clinics
4,A,100,RE-IMAGE-shared,,,How to grow your Australian service business in 2026: the complete checklist,Get More Leads,"April 23, 2026",2341,11,12,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/australian-service-business-growth-checklist-2026,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-service-business-growth-checklist-2026-linkai-digital/public,australian-service-business-growth-checklist-2026
5,A,100,RE-IMAGE-shared,,,What we're not being told about small business support in Australia,Business & Money,"June 20, 2026",3094,13,17,1,1,1,cdn,3,https://www.linkaidigital.com.au/blog/australian-small-business-support-budget-2026-whats-missing,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-practical-ai-small-business-australia-linkai-digital/public,australian-small-business-support-budget-2026-whats-missing
6,A,100,RE-IMAGE-shared; REVIEW-DUP(VET),,VET,How Australian vet clinics can get more clients from AI search,Get More Leads,"June 22, 2026",2025,12,9,1,1,1,cdn,3,https://www.linkaidigital.com.au/blog/australian-vet-clinics-ai-search-aeo,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-ai-for-vet-clinics-australia-linkai-digital/public,australian-vet-clinics-ai-search-aeo
7,A,100,RE-IMAGE-shared; REVIEW-DUP(VET),,VET,"Australian vet clinics are missing calls, and losing clients they never knew called",Win More Sales,"May 20, 2026",2651,11,14,1,1,1,cdn,3,https://www.linkaidigital.com.au/blog/australian-vet-clinics-missing-calls-losing-clients,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-ai-for-vet-clinics-australia-linkai-digital/public,australian-vet-clinics-missing-calls-losing-clients
8,A,100,RE-IMAGE-shared,,,Budget 2026-27: the five changes Australian service businesses need to act on,Business & Money,"June 20, 2026",2304,14,8,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/budget-2026-27-australian-service-business-changes,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-service-business-growth-checklist-2026-linkai-digital/public,budget-2026-27-australian-service-business-changes
9,A,100,RE-IMAGE-shared,,,How to calculate the ROI of AI automation for your service business,Get Your Time Back,"March 17, 2026",2935,12,11,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/calculate-roi-ai-automation-service-business,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-roi-ai-automation-australia-linkai-digital/public,calculate-roi-ai-automation-service-business
10,A,100,RE-IMAGE-shared,,,How to connect your business tools so everything works together,Get Your Time Back,"September 16, 2025",2052,11,11,1,1,1,cdn,2,https://www.linkaidigital.com.au/blog/connect-business-tools-systems-integration,https://imagedelivery.net/bVV3LGIKkEXotkV_Bk5iLQ/linkai-systems-integration-small-business-australia-linkai-digital/public,connect-business-tools-systems-integration
